rank,product_id,category,unique_users,views,add_to_carts,purchases,view_to_cart_rate,view_to_purchase_rate,total_revenue,avg_price
152392,17114,High Revenue,509,542,4,0,0.74,0.0,0.0,0.0
126811,82389,High Revenue,434,541,0,0,0.0,0.0,0.0,0.0
52218,287664,High Revenue,505,538,0,0,0.0,0.0,0.0,0.0
53862,298196,High Revenue,485,527,0,0,0.0,0.0,0.0,0.0
36692,260317,High Revenue,407,520,0,0,0.0,0.0,0.0,0.0
16370,304537,High Revenue,375,514,10,0,1.95,0.0,0.0,0.0
2278,192875,High Revenue,406,513,3,2,0.58,0.39,643.1500000000001,321.57500000000005
66473,425186,High Revenue,370,513,2,0,0.39,0.0,0.0,0.0
9368,334273,High Revenue,441,507,8,1,1.58,0.2,174.57,174.57
108708,392074,High Revenue,419,502,7,0,1.39,0.0,0.0,0.0
2512,170811,High Revenue,406,501,13,2,2.59,0.4,596.04,298.02
7310,299677,High Revenue,346,495,13,1,2.63,0.2,285.47,285.47
3127,424515,High Revenue,345,494,11,1,2.23,0.2,497.58,497.58
186490,184998,High Revenue,438,494,0,0,0.0,0.0,0.0,0.0
122497,75779,High Revenue,399,490,0,0,0.0,0.0,0.0,0.0
200482,216888,High Revenue,411,485,0,0,0.0,0.0,0.0,0.0
69446,429571,High Revenue,380,482,0,0,0.0,0.0,0.0,0.0
173033,29890,High Revenue,429,482,0,0,0.0,0.0,0.0,0.0
2141,175356,High Revenue,373,476,11,2,2.31,0.42,669.47,334.735
141440,115323,High Revenue,421,474,1,0,0.21,0.0,0.0,0.0
209342,137144,High Revenue,418,465,0,0,0.0,0.0,0.0,0.0
145690,101845,High Revenue,402,461,0,0,0.0,0.0,0.0,0.0
46354,251349,High Revenue,393,457,0,0,0.0,0.0,0.0,0.0
185101,184199,High Revenue,405,454,9,0,1.98,0.0,0.0,0.0
42247,244252,High Revenue,325,452,4,0,0.88,0.0,0.0,0.0
184687,203908,High Revenue,391,452,0,0,0.0,0.0,0.0,0.0
42395,244924,High Revenue,397,450,0,0,0.0,0.0,0.0,0.0
170506,54502,High Revenue,342,450,0,0,0.0,0.0,0.0,0.0
57601,276245,High Revenue,380,448,14,0,3.12,0.0,0.0,0.0
2953,186256,High Revenue,367,447,11,2,2.46,0.45,521.3,260.65
4537,382751,High Revenue,315,444,16,2,3.6,0.45,430.7000000000001,215.35
9269,194791,High Revenue,405,444,2,1,0.45,0.23,180.17,180.17
2579,321905,High Revenue,366,442,20,2,4.52,0.45,586.0,293.0
4390,413990,High Revenue,325,438,5,1,1.14,0.23,438.05,438.05
192287,229204,High Revenue,390,438,0,0,0.0,0.0,0.0,0.0
5276,103156,High Revenue,301,431,7,2,1.62,0.46,392.4,196.2
123241,75075,High Revenue,363,431,0,0,0.0,0.0,0.0,0.0
141208,114866,High Revenue,363,426,0,0,0.0,0.0,0.0,0.0
164057,48704,High Revenue,362,425,0,0,0.0,0.0,0.0,0.0
228814,156173,High Revenue,380,425,0,0,0.0,0.0,0.0,0.0
232963,162525,High Revenue,385,424,0,0,0.0,0.0,0.0,0.0
4337,190070,High Revenue,351,421,13,2,3.09,0.48,440.29,220.145
83784,460133,High Revenue,340,419,0,0,0.0,0.0,0.0,0.0
190149,193359,High Revenue,361,419,0,0,0.0,0.0,0.0,0.0
7596,302563,High Revenue,347,417,11,1,2.64,0.24,270.74,270.74
206841,139487,High Revenue,364,417,0,0,0.0,0.0,0.0,0.0
52763,286481,High Revenue,321,413,0,0,0.0,0.0,0.0,0.0
190080,192710,High Revenue,379,413,0,0,0.0,0.0,0.0,0.0
192586,229857,High Revenue,372,410,0,0,0.0,0.0,0.0,0.0
43716,245818,High Revenue,337,409,0,0,0.0,0.0,0.0,0.0
6846,68000,High Revenue,356,408,11,1,2.7,0.25,309.03,309.03
46137,250901,High Revenue,344,407,0,0,0.0,0.0,0.0,0.0
2960,190536,High Revenue,336,406,14,2,3.45,0.49,520.0500000000001,260.02500000000003
6036,328696,High Revenue,337,406,14,1,3.45,0.25,353.36,353.36
8744,20981,High Revenue,319,405,4,1,0.99,0.25,210.18,210.18
165512,45707,High Revenue,375,405,0,0,0.0,0.0,0.0,0.0
46060,251970,High Revenue,336,397,0,0,0.0,0.0,0.0,0.0
28512,323194,High Revenue,346,395,4,0,1.01,0.0,0.0,0.0
5679,40870,High Revenue,23,393,16,1,4.07,0.25,371.97,371.97
7612,447995,High Revenue,332,393,1,1,0.25,0.25,269.93,269.93
177935,199657,High Revenue,313,391,0,0,0.0,0.0,0.0,0.0
10731,455006,High Revenue,308,389,5,1,1.29,0.26,93.53,93.53
147957,97307,High Revenue,302,389,0,0,0.0,0.0,0.0,0.0
178540,198996,High Revenue,351,389,0,0,0.0,0.0,0.0,0.0
103735,361288,High Revenue,315,388,5,0,1.29,0.0,0.0,0.0
83408,461061,High Revenue,314,386,0,0,0.0,0.0,0.0,0.0
8194,380237,High Revenue,292,383,6,1,1.57,0.26,237.95,237.95
56477,273936,High Revenue,343,382,0,0,0.0,0.0,0.0,0.0
5731,48997,High Revenue,318,381,5,1,1.31,0.26,369.25,369.25
91677,446534,High Revenue,298,381,0,0,0.0,0.0,0.0,0.0
108440,393744,High Revenue,328,381,0,0,0.0,0.0,0.0,0.0
7712,24734,High Revenue,267,380,14,1,3.68,0.26,264.5,264.5
136553,110943,High Revenue,321,377,0,0,0.0,0.0,0.0,0.0
5932,245085,High Revenue,298,376,5,1,1.33,0.27,359.38,359.38
5650,448044,High Revenue,317,373,9,1,2.41,0.27,373.58,373.58
8436,438412,High Revenue,253,372,4,1,1.08,0.27,225.21,225.21
11104,128908,High Revenue,284,372,3,1,0.81,0.27,69.49,69.49
107183,396491,High Revenue,298,371,3,0,0.81,0.0,0.0,0.0
215502,120541,High Revenue,277,371,3,0,0.81,0.0,0.0,0.0
5746,227161,High Revenue,291,369,8,1,2.17,0.27,368.51,368.51
101210,348596,High Revenue,334,369,0,0,0.0,0.0,0.0,0.0
65215,428085,High Revenue,325,366,0,0,0.0,0.0,0.0,0.0
120994,79572,High Revenue,310,363,4,0,1.1,0.0,0.0,0.0
138339,107184,High Revenue,243,363,0,0,0.0,0.0,0.0,0.0
141455,115426,High Revenue,294,363,4,0,1.1,0.0,0.0,0.0
9369,411373,High Revenue,238,362,2,1,0.55,0.28,174.25,174.25
11763,101094,High Revenue,277,362,2,1,0.55,0.28,27.48,27.48
81536,464767,High Revenue,300,362,0,0,0.0,0.0,0.0,0.0
202675,212045,High Revenue,323,362,0,0,0.0,0.0,0.0,0.0
44466,239590,High Revenue,302,361,0,0,0.0,0.0,0.0,0.0
89935,450209,High Revenue,312,360,0,0,0.0,0.0,0.0,0.0
5705,361956,High Revenue,264,356,11,1,3.09,0.28,370.66,370.66
127975,64253,High Revenue,287,353,0,0,0.0,0.0,0.0,0.0
6922,330647,High Revenue,283,351,10,1,2.85,0.28,305.62,305.62
167235,56664,High Revenue,278,351,0,0,0.0,0.0,0.0,0.0
192092,189381,High Revenue,304,350,0,0,0.0,0.0,0.0,0.0
123014,74661,High Revenue,310,349,0,0,0.0,0.0,0.0,0.0
6759,165302,High Revenue,273,348,5,1,1.44,0.29,313.57,313.57
150150,21730,High Revenue,314,347,0,0,0.0,0.0,0.0,0.0
4213,272527,High Revenue,296,346,7,1,2.02,0.29,446.52,446.52
62550,277264,High Revenue,279,344,0,0,0.0,0.0,0.0,0.0
189092,191049,High Revenue,152,344,0,0,0.0,0.0,0.0,0.0
15159,303704,High Revenue,257,343,0,0,0.0,0.0,0.0,0.0
7925,321850,High Revenue,290,341,4,1,1.17,0.29,254.24,254.24
7043,23683,High Revenue,268,337,9,1,2.67,0.3,299.49,299.49
166006,45337,High Revenue,308,337,0,0,0.0,0.0,0.0,0.0
3535,264604,High Revenue,298,336,23,1,6.85,0.3,477.79,477.79
164443,51314,High Revenue,280,336,3,0,0.89,0.0,0.0,0.0
182841,207923,High Revenue,286,336,0,0,0.0,0.0,0.0,0.0
4502,21455,High Revenue,240,335,3,1,0.9,0.3,432.55,432.55
83701,459325,High Revenue,244,335,0,0,0.0,0.0,0.0,0.0
5043,422356,High Revenue,252,332,9,1,2.71,0.3,404.44,404.44
4837,243169,High Revenue,241,331,12,1,3.63,0.3,414.92,414.92
77540,416979,High Revenue,271,329,2,0,0.61,0.0,0.0,0.0
11942,438322,High Revenue,245,328,8,1,2.44,0.3,14.99,14.99
92612,365673,High Revenue,261,327,3,0,0.92,0.0,0.0,0.0
18346,310318,High Revenue,271,326,6,0,1.84,0.0,0.0,0.0
201594,209849,High Revenue,264,326,0,0,0.0,0.0,0.0,0.0
3512,452852,High Revenue,247,325,11,1,3.38,0.31,479.17,479.17
128560,63721,High Revenue,227,325,0,0,0.0,0.0,0.0,0.0
164966,50467,High Revenue,282,325,0,0,0.0,0.0,0.0,0.0
206422,219488,High Revenue,237,325,0,0,0.0,0.0,0.0,0.0
10736,177522,High Revenue,236,324,12,1,3.7,0.31,93.18,93.18
4481,395845,High Revenue,273,323,6,1,1.86,0.31,434.05,434.05
9447,191303,High Revenue,257,323,8,1,2.48,0.31,169.86,169.86
28142,322955,High Revenue,249,323,0,0,0.0,0.0,0.0,0.0
146048,102229,High Revenue,287,322,0,0,0.0,0.0,0.0,0.0
6918,124919,High Revenue,221,321,5,1,1.56,0.31,305.71,305.71
20315,306289,High Revenue,15,321,0,0,0.0,0.0,0.0,0.0
117201,389172,High Revenue,234,321,0,0,0.0,0.0,0.0,0.0
224053,166285,High Revenue,267,321,0,0,0.0,0.0,0.0,0.0
120564,386947,High Revenue,249,320,19,0,5.94,0.0,0.0,0.0
59747,271953,High Revenue,269,317,1,0,0.32,0.0,0.0,0.0
6131,273118,High Revenue,261,316,4,1,1.27,0.32,347.94,347.94
7373,208270,High Revenue,251,316,3,1,0.95,0.32,282.16,282.16
7446,225257,High Revenue,234,316,12,1,3.8,0.32,277.62,277.62
101056,348237,High Revenue,309,316,0,0,0.0,0.0,0.0,0.0
173372,32843,High Revenue,250,316,2,0,0.63,0.0,0.0,0.0
98039,369565,High Revenue,233,315,10,0,3.17,0.0,0.0,0.0
38522,256695,High Revenue,269,313,0,0,0.0,0.0,0.0,0.0
3979,118780,High Revenue,255,311,7,1,2.25,0.32,456.67,456.67
210466,147005,High Revenue,250,311,6,0,1.93,0.0,0.0,0.0
34512,328692,High Revenue,185,309,0,0,0.0,0.0,0.0,0.0
134210,69974,High Revenue,263,309,2,0,0.65,0.0,0.0,0.0
173810,33182,High Revenue,245,309,8,0,2.59,0.0,0.0,0.0
221799,170936,High Revenue,256,309,0,0,0.0,0.0,0.0,0.0
42975,243882,High Revenue,273,308,0,0,0.0,0.0,0.0,0.0
47491,248023,High Revenue,224,308,0,0,0.0,0.0,0.0,0.0
82195,463668,High Revenue,271,307,0,0,0.0,0.0,0.0,0.0
70627,411766,High Revenue,277,306,0,0,0.0,0.0,0.0,0.0
208558,135900,High Revenue,251,306,3,0,0.98,0.0,0.0,0.0
171886,37115,High Revenue,199,305,8,0,2.62,0.0,0.0,0.0
3552,174538,High Revenue,247,304,10,1,3.29,0.33,477.11,477.11
36511,259873,High Revenue,262,304,0,0,0.0,0.0,0.0,0.0
41048,262522,High Revenue,222,304,0,0,0.0,0.0,0.0,0.0
195727,237021,High Revenue,233,302,7,0,2.32,0.0,0.0,0.0
5933,9211,High Revenue,223,301,11,1,3.65,0.33,359.23,359.23
53165,296619,High Revenue,129,300,4,0,1.33,0.0,0.0,0.0
134510,69081,High Revenue,266,300,0,0,0.0,0.0,0.0,0.0
153484,26970,High Revenue,266,300,0,0,0.0,0.0,0.0,0.0
9275,425726,High Revenue,243,299,8,1,2.68,0.33,179.52,179.52
14184,314103,High Revenue,246,298,0,0,0.0,0.0,0.0,0.0
112329,399674,High Revenue,200,298,8,0,2.68,0.0,0.0,0.0
165434,45543,High Revenue,253,298,4,0,1.34,0.0,0.0,0.0
7414,183313,High Revenue,253,296,14,1,4.73,0.34,279.12,279.12
8460,215704,High Revenue,247,296,7,1,2.36,0.34,224.45,224.45
9362,424899,High Revenue,248,296,7,1,2.36,0.34,175.09,175.09
10559,204070,High Revenue,255,296,0,1,0.0,0.34,104.02,104.02
11056,279531,High Revenue,247,296,4,1,1.35,0.34,73.09,73.09
141173,112537,High Revenue,258,296,0,0,0.0,0.0,0.0,0.0
202060,212672,High Revenue,252,296,3,0,1.01,0.0,0.0,0.0
101734,347812,High Revenue,211,294,0,0,0.0,0.0,0.0,0.0
152888,27442,High Revenue,237,292,0,0,0.0,0.0,0.0,0.0
7873,280029,High Revenue,218,291,9,1,3.09,0.34,256.5,256.5
8829,90219,High Revenue,186,291,4,1,1.37,0.34,206.32,206.32
234013,157705,High Revenue,238,291,7,0,2.41,0.0,0.0,0.0
11474,457231,High Revenue,199,290,9,1,3.1,0.34,46.01,46.01
145585,91770,High Revenue,249,290,0,0,0.0,0.0,0.0,0.0
9696,363111,High Revenue,235,289,1,1,0.35,0.35,154.87,154.87
179312,200270,High Revenue,255,288,0,0,0.0,0.0,0.0,0.0
3992,350399,High Revenue,226,286,12,1,4.2,0.35,456.15,456.15
4974,440248,High Revenue,150,286,4,1,1.4,0.35,408.44,408.44
130752,63119,High Revenue,239,286,0,0,0.0,0.0,0.0,0.0
145222,91600,High Revenue,244,286,2,0,0.7,0.0,0.0,0.0
8240,224355,High Revenue,251,285,2,1,0.7,0.35,235.24,235.24
114397,383717,High Revenue,218,285,2,0,0.7,0.0,0.0,0.0
7337,97879,High Revenue,248,284,7,1,2.46,0.35,284.38,284.38
186058,186095,High Revenue,217,284,1,0,0.35,0.0,0.0,0.0
202776,211811,High Revenue,251,284,0,0,0.0,0.0,0.0,0.0
195672,227092,High Revenue,217,283,0,0,0.0,0.0,0.0,0.0
74953,418619,High Revenue,228,282,0,0,0.0,0.0,0.0,0.0
4713,239020,High Revenue,208,281,4,1,1.42,0.36,421.57,421.57
142666,93101,High Revenue,228,281,1,0,0.36,0.0,0.0,0.0
106956,396064,High Revenue,83,280,0,0,0.0,0.0,0.0,0.0
135416,108457,High Revenue,223,280,2,0,0.71,0.0,0.0,0.0
50410,291389,High Revenue,251,279,0,0,0.0,0.0,0.0,0.0
8323,368947,High Revenue,227,276,8,1,2.9,0.36,231.21,231.21
76646,415081,High Revenue,254,276,8,0,2.9,0.0,0.0,0.0
153276,26477,High Revenue,123,276,5,0,1.81,0.0,0.0,0.0
3358,48892,High Revenue,222,274,2,1,0.73,0.36,485.9,485.9
3983,316243,High Revenue,231,274,7,1,2.55,0.36,456.47,456.47
136255,111602,High Revenue,230,274,1,0,0.36,0.0,0.0,0.0
151602,14974,High Revenue,235,274,0,0,0.0,0.0,0.0,0.0
162240,7765,High Revenue,221,274,0,0,0.0,0.0,0.0,0.0
22403,339479,High Revenue,222,273,0,0,0.0,0.0,0.0,0.0
154598,23707,High Revenue,238,273,0,0,0.0,0.0,0.0,0.0
166158,45140,High Revenue,236,273,2,0,0.73,0.0,0.0,0.0
3379,89262,High Revenue,193,272,8,1,2.94,0.37,484.97,484.97
7404,413951,High Revenue,200,272,5,1,1.84,0.37,279.96,279.96
200685,215308,High Revenue,193,272,0,0,0.0,0.0,0.0,0.0
5413,349506,High Revenue,206,271,7,1,2.58,0.37,385.46,385.46
95059,365202,High Revenue,204,269,0,0,0.0,0.0,0.0,0.0
232340,161135,High Revenue,238,269,5,0,1.86,0.0,0.0,0.0
8199,361281,High Revenue,225,268,4,1,1.49,0.37,237.62,237.62
124701,86057,High Revenue,218,268,6,0,2.24,0.0,0.0,0.0
34378,328876,High Revenue,217,266,2,0,0.75,0.0,0.0,0.0
96949,375492,High Revenue,226,266,6,0,2.26,0.0,0.0,0.0
8076,110529,High Revenue,214,265,6,1,2.26,0.38,244.79,244.79
38289,256134,High Revenue,217,265,0,0,0.0,0.0,0.0,0.0
40899,262125,High Revenue,202,265,2,0,0.75,0.0,0.0,0.0
114396,383715,High Revenue,176,265,0,0,0.0,0.0,0.0,0.0
5921,414410,High Revenue,208,264,11,1,4.17,0.38,359.86,359.86
11799,368488,High Revenue,213,264,4,1,1.52,0.38,24.94,24.94
42629,243554,High Revenue,219,264,0,0,0.0,0.0,0.0,0.0
74983,418572,High Revenue,220,264,0,0,0.0,0.0,0.0,0.0
226843,172605,High Revenue,219,264,0,0,0.0,0.0,0.0,0.0
8844,87557,High Revenue,199,263,5,1,1.9,0.38,205.33,205.33
16994,299592,High Revenue,232,263,0,0,0.0,0.0,0.0,0.0
145383,91443,High Revenue,229,263,4,0,1.52,0.0,0.0,0.0
142537,93389,High Revenue,208,262,0,0,0.0,0.0,0.0,0.0
207717,141295,High Revenue,208,261,0,0,0.0,0.0,0.0,0.0
11804,144053,High Revenue,191,259,1,1,0.39,0.39,24.35,24.35
92241,366732,High Revenue,207,258,3,0,1.16,0.0,0.0,0.0
5199,459936,High Revenue,193,257,3,1,1.17,0.39,397.03,397.03
134697,69599,High Revenue,226,257,0,0,0.0,0.0,0.0,0.0
177241,40864,High Revenue,222,257,6,0,2.33,0.0,0.0,0.0
70024,433059,High Revenue,225,256,0,0,0.0,0.0,0.0,0.0
80619,454771,High Revenue,212,256,0,0,0.0,0.0,0.0,0.0
10137,166691,High Revenue,204,255,3,1,1.18,0.39,127.94,127.94
76455,414704,High Revenue,212,254,0,0,0.0,0.0,0.0,0.0
93437,367956,High Revenue,196,254,0,0,0.0,0.0,0.0,0.0
7413,390379,High Revenue,211,253,12,1,4.74,0.4,279.27,279.27
79907,453235,High Revenue,203,253,0,0,0.0,0.0,0.0,0.0
144431,89438,High Revenue,199,253,11,0,4.35,0.0,0.0,0.0
194333,226127,High Revenue,220,253,0,0,0.0,0.0,0.0,0.0
219660,127537,High Revenue,206,253,9,0,3.56,0.0,0.0,0.0
8003,75331,High Revenue,181,252,5,1,1.98,0.4,249.2,249.2
9364,252319,High Revenue,166,252,3,1,1.19,0.4,175.03,175.03
25578,346429,High Revenue,203,252,4,0,1.59,0.0,0.0,0.0
157409,6605,High Revenue,75,252,5,0,1.98,0.0,0.0,0.0
9156,55515,High Revenue,211,251,4,1,1.59,0.4,186.8,186.8
10461,106786,High Revenue,222,251,4,1,1.59,0.4,109.11,109.11
11636,387318,High Revenue,178,251,11,1,4.38,0.4,35.36,35.36
15709,304973,High Revenue,231,251,0,0,0.0,0.0,0.0,0.0
32957,331168,High Revenue,231,251,0,0,0.0,0.0,0.0,0.0
55073,291860,High Revenue,229,251,0,0,0.0,0.0,0.0,0.0
66750,423851,High Revenue,182,251,0,0,0.0,0.0,0.0,0.0
94014,362914,High Revenue,209,251,0,0,0.0,0.0,0.0,0.0
105028,354676,High Revenue,222,251,8,0,3.19,0.0,0.0,0.0
11316,367447,High Revenue,205,249,10,1,4.02,0.4,55.84,55.84
71825,413901,High Revenue,15,249,0,0,0.0,0.0,0.0,0.0
47088,252860,High Revenue,224,248,0,0,0.0,0.0,0.0,0.0
61068,284000,High Revenue,218,248,2,0,0.81,0.0,0.0,0.0
55030,291774,High Revenue,229,247,0,0,0.0,0.0,0.0,0.0
98531,373128,High Revenue,185,247,7,0,2.83,0.0,0.0,0.0
206757,139770,High Revenue,199,247,3,0,1.21,0.0,0.0,0.0
229364,155871,High Revenue,204,247,1,0,0.4,0.0,0.0,0.0
82483,466385,High Revenue,88,246,4,0,1.63,0.0,0.0,0.0
90598,445757,High Revenue,222,246,0,0,0.0,0.0,0.0,0.0
127689,84172,High Revenue,225,246,0,0,0.0,0.0,0.0,0.0
5654,194270,High Revenue,215,245,4,1,1.63,0.41,373.4,373.4
11246,27248,High Revenue,204,245,11,1,4.49,0.41,60.61,60.61
11351,227869,High Revenue,185,245,14,1,5.71,0.41,53.98,53.98
65903,422547,High Revenue,189,245,3,0,1.22,0.0,0.0,0.0
212205,143185,High Revenue,185,245,5,0,2.04,0.0,0.0,0.0
64537,428556,High Revenue,189,244,6,0,2.46,0.0,0.0,0.0
164121,48256,High Revenue,218,244,0,0,0.0,0.0,0.0,0.0
3314,54875,High Revenue,180,243,10,1,4.12,0.41,488.37,488.37
11488,96127,High Revenue,164,243,12,1,4.94,0.41,45.61,45.61
215910,119636,High Revenue,193,243,1,0,0.41,0.0,0.0,0.0
222229,170085,High Revenue,224,243,0,0,0.0,0.0,0.0,0.0
9128,229382,High Revenue,128,241,2,1,0.83,0.41,187.96,187.96
7597,405493,High Revenue,192,240,7,1,2.92,0.42,270.74,270.74
85521,440747,High Revenue,196,240,5,0,2.08,0.0,0.0,0.0
161881,8497,High Revenue,196,240,0,0,0.0,0.0,0.0,0.0
183362,203002,High Revenue,190,240,9,0,3.75,0.0,0.0,0.0
9912,188723,High Revenue,189,239,5,1,2.09,0.42,142.29,142.29
10579,26988,High Revenue,202,238,3,1,1.26,0.42,102.58,102.58
73710,410286,High Revenue,217,238,0,0,0.0,0.0,0.0,0.0
210673,145582,High Revenue,196,237,0,0,0.0,0.0,0.0,0.0
7432,355511,High Revenue,175,236,7,1,2.97,0.42,278.08,278.08
8792,96883,High Revenue,161,236,3,1,1.27,0.42,208.12,208.12
80699,455499,High Revenue,206,236,0,0,0.0,0.0,0.0,0.0
149856,18921,High Revenue,199,236,0,0,0.0,0.0,0.0,0.0
23229,334004,High Revenue,206,235,0,0,0.0,0.0,0.0,0.0
45362,241441,High Revenue,187,235,0,0,0.0,0.0,0.0,0.0
100825,353347,High Revenue,212,235,1,0,0.43,0.0,0.0,0.0
184694,203917,High Revenue,202,235,0,0,0.0,0.0,0.0,0.0
4996,184903,High Revenue,192,234,4,1,1.71,0.43,406.98,406.98
11615,429607,High Revenue,189,234,8,1,3.42,0.43,36.72,36.72
11846,202170,High Revenue,166,234,3,1,1.28,0.43,20.86,20.86
6679,75458,High Revenue,181,233,8,1,3.43,0.43,317.54,317.54
8315,143689,High Revenue,185,233,0,1,0.0,0.43,231.85,231.85
11058,20187,High Revenue,190,233,5,1,2.15,0.43,72.83,72.83
39132,265674,High Revenue,188,233,0,0,0.0,0.0,0.0,0.0
192783,228521,High Revenue,196,233,0,0,0.0,0.0,0.0,0.0
10852,197621,High Revenue,171,232,6,1,2.59,0.43,86.21,86.21
24601,334886,High Revenue,177,232,2,0,0.86,0.0,0.0,0.0
102101,350528,High Revenue,190,232,0,0,0.0,0.0,0.0,0.0
129419,65889,High Revenue,206,232,0,0,0.0,0.0,0.0,0.0
135279,109661,High Revenue,194,232,0,0,0.0,0.0,0.0,0.0
172732,31406,High Revenue,199,232,2,0,0.86,0.0,0.0,0.0
7847,19976,High Revenue,192,231,6,1,2.6,0.43,257.42,257.42
15267,302696,High Revenue,185,231,0,0,0.0,0.0,0.0,0.0
123713,77902,High Revenue,198,231,5,0,2.16,0.0,0.0,0.0
142657,93144,High Revenue,182,231,3,0,1.3,0.0,0.0,0.0
33249,331446,High Revenue,213,230,0,0,0.0,0.0,0.0,0.0
3260,361443,High Revenue,161,229,8,1,3.49,0.44,490.7,490.7
11523,34843,High Revenue,176,229,10,1,4.37,0.44,42.94,42.94
11591,400998,High Revenue,184,229,3,1,1.31,0.44,38.19,38.19
61860,277794,High Revenue,183,229,3,0,1.31,0.0,0.0,0.0
92520,365879,High Revenue,164,229,0,0,0.0,0.0,0.0,0.0
10752,176106,High Revenue,191,228,5,1,2.19,0.44,92.26,92.26
14450,315489,High Revenue,196,228,0,0,0.0,0.0,0.0,0.0
8263,275937,High Revenue,194,227,3,1,1.32,0.44,234.37,234.37
8418,385091,High Revenue,170,227,4,1,1.76,0.44,226.16,226.16
10798,179733,High Revenue,197,227,1,1,0.44,0.44,89.82,89.82
152172,18519,High Revenue,180,227,3,0,1.32,0.0,0.0,0.0
196441,236565,High Revenue,204,227,1,0,0.44,0.0,0.0,0.0
5868,228279,High Revenue,199,226,1,1,0.44,0.44,361.94,361.94
214850,126396,High Revenue,190,226,5,0,2.21,0.0,0.0,0.0
232705,164178,High Revenue,163,226,1,0,0.44,0.0,0.0,0.0
8313,21746,High Revenue,192,225,2,1,0.89,0.44,231.91,231.91
103824,361103,High Revenue,111,225,5,0,2.22,0.0,0.0,0.0
139229,116429,High Revenue,196,225,0,0,0.0,0.0,0.0,0.0
175237,44053,High Revenue,194,225,0,0,0.0,0.0,0.0,0.0
204317,223064,High Revenue,200,225,0,0,0.0,0.0,0.0,0.0
7118,66974,High Revenue,135,224,3,1,1.34,0.45,295.53,295.53
3598,158314,High Revenue,179,223,7,1,3.14,0.45,474.15,474.15
8826,432992,High Revenue,187,223,10,1,4.48,0.45,206.42,206.42
