rank,product_id,category,unique_users,views,purchases,view_to_cart_rate,view_to_purchase_rate,cart_to_purchase_rate,total_revenue,avg_price,revenue_per_user
3511,77735,Top Performer,2,2,1,50.0,50.0,100.0,479.17,479.17,239.58
3547,162722,Top Performer,3,2,1,50.0,50.0,100.0,477.41,477.41,159.14
3566,50277,Top Performer,3,2,1,100.0,50.0,50.0,476.2,476.2,158.73
3746,411128,Top Performer,3,2,1,100.0,50.0,50.0,467.31,467.31,155.77
3763,360269,Top Performer,2,2,1,50.0,50.0,100.0,466.82,466.82,233.41
3906,412137,Top Performer,2,2,1,50.0,50.0,100.0,460.52,460.52,230.26
4019,347223,Top Performer,2,2,1,50.0,50.0,100.0,455.26,455.26,227.63
4083,180799,Top Performer,2,2,1,50.0,50.0,100.0,452.52,452.52,226.26
4093,379015,Top Performer,4,4,2,50.0,50.0,100.0,451.94,225.97,112.98
4111,48661,Top Performer,2,2,1,50.0,50.0,100.0,450.99,450.99,225.5
4340,247378,Top Performer,3,2,1,50.0,50.0,100.0,440.1,440.1,146.7
4361,211975,Top Performer,4,4,2,125.0,50.0,40.0,439.34,219.67,109.84
4625,240859,Top Performer,2,2,1,50.0,50.0,100.0,426.12,426.12,213.06
4668,36464,Top Performer,4,4,2,50.0,50.0,100.0,423.97,211.985,105.99
4690,276324,Top Performer,2,2,1,50.0,50.0,100.0,422.72,422.72,211.36
4729,382884,Top Performer,2,2,1,50.0,50.0,100.0,420.58,420.58,210.29
4774,428397,Top Performer,3,2,1,50.0,50.0,100.0,417.92,417.92,139.31
4778,110115,Top Performer,2,2,1,50.0,50.0,100.0,417.86,417.86,208.93
4816,153520,Top Performer,2,2,1,50.0,50.0,100.0,415.93,415.93,207.96
4866,291403,Top Performer,2,2,1,50.0,50.0,100.0,413.54,413.54,206.77
5029,358882,Top Performer,2,2,1,50.0,50.0,100.0,404.89,404.89,202.44
5039,74511,Top Performer,2,2,1,50.0,50.0,100.0,404.66,404.66,202.33
5064,161949,Top Performer,1,2,1,50.0,50.0,100.0,403.31,403.31,403.31
5167,450565,Top Performer,3,2,1,100.0,50.0,50.0,398.86,398.86,132.95
5330,111473,Top Performer,2,2,1,50.0,50.0,100.0,389.26,389.26,194.63
5544,277504,Top Performer,2,2,1,50.0,50.0,100.0,379.16,379.16,189.58
5575,331490,Top Performer,2,2,1,50.0,50.0,100.0,377.8,377.8,188.9
5725,123756,Top Performer,2,2,1,50.0,50.0,100.0,369.59,369.59,184.8
6215,233454,Top Performer,3,2,1,100.0,50.0,50.0,343.03,343.03,114.34
6220,464319,Top Performer,3,2,1,50.0,50.0,100.0,342.87,342.87,114.29
6239,165583,Top Performer,1,2,1,50.0,50.0,100.0,341.77,341.77,341.77
6339,6469,Top Performer,2,2,1,50.0,50.0,100.0,336.05,336.05,168.02
6356,205756,Top Performer,3,2,1,50.0,50.0,100.0,335.02,335.02,111.67
